,Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
33,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,91,Unaccompanied Children (UC) / Single Minors,Mexico,Title 8
34,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,62,Unaccompanied Children (UC) / Single Minors,Mexico,Title 8
35,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,60,Unaccompanied Children (UC) / Single Minors,Mexico,Title 8
36,Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,11712,Individuals in a Family Unit (FMUA),Mexico,Title 8
37,Office of Field Operations,Office of Field Operations,FMUA,FMUA,AUG,AUG,2918,Individuals in a Family Unit (FMUA),Mexico,Title 8
38,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUL,JUL,3190,Individuals in a Family Unit (FMUA),Mexico,Title 8
39,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUN,JUN,2346,Individuals in a Family Unit (FMUA),Mexico,Title 8
40,Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAY,MAY,1637,Individuals in a Family Unit (FMUA),Mexico,Title 8
41,Office of Field Operations,Office of Field Operations,FMUA,FMUA,APR,APR,825,Individuals in a Family Unit (FMUA),Mexico,Title 8
42,Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAR,MAR,327,Individuals in a Family Unit (FMUA),Mexico,Title 8
43,Office of Field Operations,Office of Field Operations,FMUA,FMUA,FEB,FEB,140,Individuals in a Family Unit (FMUA),Mexico,Title 8
44,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JAN,JAN,101,Individuals in a Family Unit (FMUA),Mexico,Title 8
45,Office of Field Operations,Office of Field Operations,FMUA,FMUA,DEC,DEC,80,Individuals in a Family Unit (FMUA),Mexico,Title 8
46,Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,60,Individuals in a Family Unit (FMUA),Mexico,Title 8
47,Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,88,Individuals in a Family Unit (FMUA),Mexico,Title 8
48,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,11028,Single Adults,Mexico,Title 8
49,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,AUG,AUG,1344,Single Adults,Mexico,Title 8
50,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUL,JUL,1694,Single Adults,Mexico,Title 8
51,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,1200,Single Adults,Mexico,Title 8
52,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,1135,Single Adults,Mexico,Title 8
53,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,936,Single Adults,Mexico,Title 8
54,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,867,Single Adults,Mexico,Title 8
55,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,859,Single Adults,Mexico,Title 8
56,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,834,Single Adults,Mexico,Title 8
57,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,717,Single Adults,Mexico,Title 8
58,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,709,Single Adults,Mexico,Title 8
59,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,733,Single Adults,Mexico,Title 8
60,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,42849,%many-values%,Mexico,Title 8
61,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,AUG,AUG,4082,%many-values%,Mexico,Title 8
62,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUL,JUL,3841,%many-values%,Mexico,Title 8
63,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUN,JUN,4472,%many-values%,Mexico,Title 8
64,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAY,MAY,4827,%many-values%,Mexico,Title 8
65,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,APR,APR,4503,%many-values%,Mexico,Title 8
66,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,4500,%many-values%,Mexico,Title 8
67,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,3460,%many-values%,Mexico,Title 8
68,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,3892,%many-values%,Mexico,Title 8
69,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,3848,%many-values%,Mexico,Title 8
70,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,3124,%many-values%,Mexico,Title 8
71,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,2300,%many-values%,Mexico,Title 8
72,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,18685,Unaccompanied Children (UC) / Single Minors,Mexico,Title 8
73,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,AUG,AUG,1801,Unaccompanied Children (UC) / Single Minors,Mexico,Title 8
74,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUL,JUL,1843,Unaccompanied Children (UC) / Single Minors,Mexico,Title 8
75,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUN,JUN,2069,Unaccompanied Children (UC) / Single Minors,Mexico,Title 8
76,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAY,MAY,2365,Unaccompanied Children (UC) / Single Minors,Mexico,Title 8
77,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,APR,APR,2266,Unaccompanied Children (UC) / Single Minors,Mexico,Title 8
78,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAR,MAR,2278,Unaccompanied Children (UC) / Single Minors,Mexico,Title 8
79,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,1770,Unaccompanied Children (UC) / Single Minors,Mexico,Title 8
80,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JAN,JAN,1757,Unaccompanied Children (UC) / Single Minors,Mexico,Title 8
81,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,DEC,DEC,1661,Unaccompanied Children (UC) / Single Minors,Mexico,Title 8
82,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,836,Unaccompanied Children (UC) / Single Minors,Mexico,Title 8
83,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,39,Unaccompanied Children (UC) / Single Minors,Mexico,Title 8
84,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,2230,Individuals in a Family Unit (FMUA),Mexico,Title 8
85,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,AUG,AUG,327,Individuals in a Family Unit (FMUA),Mexico,Title 8
86,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUL,JUL,198,Individuals in a Family Unit (FMUA),Mexico,Title 8
87,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUN,JUN,265,Individuals in a Family Unit (FMUA),Mexico,Title 8
88,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAY,MAY,227,Individuals in a Family Unit (FMUA),Mexico,Title 8
89,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,APR,APR,266,Individuals in a Family Unit (FMUA),Mexico,Title 8
90,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAR,MAR,503,Individuals in a Family Unit (FMUA),Mexico,Title 8
91,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,233,Individuals in a Family Unit (FMUA),Mexico,Title 8
92,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,129,Individuals in a Family Unit (FMUA),Mexico,Title 8
93,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,39,Individuals in a Family Unit (FMUA),Mexico,Title 8
94,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,28,Individuals in a Family Unit (FMUA),Mexico,Title 8
95,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,15,Individuals in a Family Unit (FMUA),Mexico,Title 8
96,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,21934,Single Adults,Mexico,Title 8
97,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,AUG,AUG,1954,Single Adults,Mexico,Title 8
98,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUL,JUL,1800,Single Adults,Mexico,Title 8
99,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUN,JUN,2138,Single Adults,Mexico,Title 8
100,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAY,MAY,2235,Single Adults,Mexico,Title 8
101,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,APR,APR,1971,Single Adults,Mexico,Title 8
102,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAR,MAR,1719,Single Adults,Mexico,Title 8
103,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,1457,Single Adults,Mexico,Title 8
104,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,2006,Single Adults,Mexico,Title 8
105,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,2148,Single Adults,Mexico,Title 8
106,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,2260,Single Adults,Mexico,Title 8
107,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,2246,Single Adults,Mexico,Title 8
108,%all%,%all%,%all%,%all%,%all%,%all%,67410,%many-values%,Mexico,Title 8
109,%all%,%all%,%all%,%all%,AUG,AUG,8743,%many-values%,Mexico,Title 8
110,%all%,%all%,%all%,%all%,JUL,JUL,8976,%many-values%,Mexico,Title 8
111,%all%,%all%,%all%,%all%,JUN,JUN,8217,%many-values%,Mexico,Title 8
112,%all%,%all%,%all%,%all%,MAY,MAY,7751,%many-values%,Mexico,Title 8
113,%all%,%all%,%all%,%all%,APR,APR,6398,%many-values%,Mexico,Title 8
114,%all%,%all%,%all%,%all%,MAR,MAR,5856,%many-values%,Mexico,Title 8
115,%all%,%all%,%all%,%all%,FEB,FEB,4605,%many-values%,Mexico,Title 8
116,%all%,%all%,%all%,%all%,JAN,JAN,4952,%many-values%,Mexico,Title 8
117,%all%,%all%,%all%,%all%,DEC,DEC,4758,%many-values%,Mexico,Title 8
118,%all%,%all%,%all%,%all%,NOV,NOV,3962,%many-values%,Mexico,Title 8
119,%all%,%all%,%all%,%all%,OCT,OCT,3192,%many-values%,Mexico,Title 8
0,Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,19177,%many-values%,Mexico,Title 42
1,Office of Field Operations,Office of Field Operations,%all%,%all%,AUG,AUG,2128,%many-values%,Mexico,Title 42
2,Office of Field Operations,Office of Field Operations,%all%,%all%,JUL,JUL,1829,%many-values%,Mexico,Title 42
3,Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,1694,%many-values%,Mexico,Title 42
4,Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,1713,%many-values%,Mexico,Title 42
5,Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,1532,%many-values%,Mexico,Title 42
6,Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,1801,%many-values%,Mexico,Title 42
7,Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,1768,%many-values%,Mexico,Title 42
8,Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,1610,%many-values%,Mexico,Title 42
9,Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,1560,%many-values%,Mexico,Title 42
10,Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,1785,%many-values%,Mexico,Title 42
11,Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,1757,%many-values%,Mexico,Title 42
12,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,%all%,%all%,1143,Accompanied Minors (AM),Mexico,Title 42
13,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,AUG,AUG,228,Accompanied Minors (AM),Mexico,Title 42
14,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JUL,JUL,244,Accompanied Minors (AM),Mexico,Title 42
15,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JUN,JUN,95,Accompanied Minors (AM),Mexico,Title 42
16,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,MAY,MAY,92,Accompanied Minors (AM),Mexico,Title 42
17,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,APR,APR,72,Accompanied Minors (AM),Mexico,Title 42
18,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,MAR,MAR,71,Accompanied Minors (AM),Mexico,Title 42
19,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,FEB,FEB,70,Accompanied Minors (AM),Mexico,Title 42
20,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JAN,JAN,76,Accompanied Minors (AM),Mexico,Title 42
21,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,DEC,DEC,53,Accompanied Minors (AM),Mexico,Title 42
22,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,NOV,NOV,63,Accompanied Minors (AM),Mexico,Title 42
23,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,OCT,OCT,79,Accompanied Minors (AM),Mexico,Title 42
24,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,84,Unaccompanied Children (UC) / Single Minors,Mexico,Title 42
25,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,1,Unaccompanied Children (UC) / Single Minors,Mexico,Title 42
26,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,2,Unaccompanied Children (UC) / Single Minors,Mexico,Title 42
27,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,35,Unaccompanied Children (UC) / Single Minors,Mexico,Title 42
28,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,46,Unaccompanied Children (UC) / Single Minors,Mexico,Title 42
29,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,17950,Single Adults,Mexico,Title 42
30,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,AUG,AUG,1900,Single Adults,Mexico,Title 42
31,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUL,JUL,1585,Single Adults,Mexico,Title 42
32,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,1599,Single Adults,Mexico,Title 42
33,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,1621,Single Adults,Mexico,Title 42
34,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,1460,Single Adults,Mexico,Title 42
35,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,1730,Single Adults,Mexico,Title 42
36,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,1697,Single Adults,Mexico,Title 42
37,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,1534,Single Adults,Mexico,Title 42
38,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,1505,Single Adults,Mexico,Title 42
39,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,1687,Single Adults,Mexico,Title 42
40,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,1632,Single Adults,Mexico,Title 42
41,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,508435,%many-values%,Mexico,Title 42
42,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,AUG,AUG,44992,%many-values%,Mexico,Title 42
43,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUL,JUL,49135,%many-values%,Mexico,Title 42
44,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUN,JUN,54983,%many-values%,Mexico,Title 42
45,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAY,MAY,61379,%many-values%,Mexico,Title 42
46,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,APR,APR,57667,%many-values%,Mexico,Title 42
47,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,54849,%many-values%,Mexico,Title 42
48,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,37883,%many-values%,Mexico,Title 42
49,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,34231,%many-values%,Mexico,Title 42
50,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,33053,%many-values%,Mexico,Title 42
51,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,38418,%many-values%,Mexico,Title 42
52,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,41845,%many-values%,Mexico,Title 42
53,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,3465,Unaccompanied Children (UC) / Single Minors,Mexico,Title 42
54,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,AUG,AUG,19,Unaccompanied Children (UC) / Single Minors,Mexico,Title 42
55,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,2,Unaccompanied Children (UC) / Single Minors,Mexico,Title 42
56,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JAN,JAN,18,Unaccompanied Children (UC) / Single Minors,Mexico,Title 42
57,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,1100,Unaccompanied Children (UC) / Single Minors,Mexico,Title 42
58,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,2326,Unaccompanied Children (UC) / Single Minors,Mexico,Title 42
59,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,13021,Individuals in a Family Unit (FMUA),Mexico,Title 42
60,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,AUG,AUG,1505,Individuals in a Family Unit (FMUA),Mexico,Title 42
61,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUL,JUL,1370,Individuals in a Family Unit (FMUA),Mexico,Title 42
62,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUN,JUN,1206,Individuals in a Family Unit (FMUA),Mexico,Title 42
63,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAY,MAY,1363,Individuals in a Family Unit (FMUA),Mexico,Title 42
64,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,APR,APR,1467,Individuals in a Family Unit (FMUA),Mexico,Title 42
65,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAR,MAR,1385,Individuals in a Family Unit (FMUA),Mexico,Title 42
66,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,947,Individuals in a Family Unit (FMUA),Mexico,Title 42
67,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,762,Individuals in a Family Unit (FMUA),Mexico,Title 42
68,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,685,Individuals in a Family Unit (FMUA),Mexico,Title 42
69,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,1181,Individuals in a Family Unit (FMUA),Mexico,Title 42
70,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,1150,Individuals in a Family Unit (FMUA),Mexico,Title 42
71,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,491949,Single Adults,Mexico,Title 42
72,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,AUG,AUG,43468,Single Adults,Mexico,Title 42
73,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUL,JUL,47765,Single Adults,Mexico,Title 42
74,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUN,JUN,53777,Single Adults,Mexico,Title 42
75,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAY,MAY,60016,Single Adults,Mexico,Title 42
76,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,APR,APR,56200,Single Adults,Mexico,Title 42
77,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAR,MAR,53464,Single Adults,Mexico,Title 42
78,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,36934,Single Adults,Mexico,Title 42
79,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,33451,Single Adults,Mexico,Title 42
80,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,32368,Single Adults,Mexico,Title 42
81,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,36137,Single Adults,Mexico,Title 42
82,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,38369,Single Adults,Mexico,Title 42
83,%all%,%all%,%all%,%all%,%all%,%all%,527612,%many-values%,Mexico,Title 42
84,%all%,%all%,%all%,%all%,AUG,AUG,47120,%many-values%,Mexico,Title 42
85,%all%,%all%,%all%,%all%,JUL,JUL,50964,%many-values%,Mexico,Title 42
86,%all%,%all%,%all%,%all%,JUN,JUN,56677,%many-values%,Mexico,Title 42
87,%all%,%all%,%all%,%all%,MAY,MAY,63092,%many-values%,Mexico,Title 42
88,%all%,%all%,%all%,%all%,APR,APR,59199,%many-values%,Mexico,Title 42
89,%all%,%all%,%all%,%all%,MAR,MAR,56650,%many-values%,Mexico,Title 42
90,%all%,%all%,%all%,%all%,FEB,FEB,39651,%many-values%,Mexico,Title 42
91,%all%,%all%,%all%,%all%,JAN,JAN,35841,%many-values%,Mexico,Title 42
92,%all%,%all%,%all%,%all%,DEC,DEC,34613,%many-values%,Mexico,Title 42
93,%all%,%all%,%all%,%all%,NOV,NOV,40203,%many-values%,Mexico,Title 42
94,%all%,%all%,%all%,%all%,OCT,OCT,43602,%many-values%,Mexico,Title 42
0,Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,8604,%many-values%,Other,all
1,Office of Field Operations,Office of Field Operations,%all%,%all%,AUG,AUG,2337,%many-values%,Other,all
2,Office of Field Operations,Office of Field Operations,%all%,%all%,JUL,JUL,1912,%many-values%,Other,all
3,Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,1183,%many-values%,Other,all
4,Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,782,%many-values%,Other,all
5,Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,731,%many-values%,Other,all
6,Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,586,%many-values%,Other,all
7,Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,303,%many-values%,Other,all
8,Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,255,%many-values%,Other,all
9,Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,222,%many-values%,Other,all
10,Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,181,%many-values%,Other,all
11,Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,112,%many-values%,Other,all
12,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,%all%,%all%,106,Accompanied Minors (AM),Other,all
13,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,AUG,AUG,16,Accompanied Minors (AM),Other,all
14,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JUL,JUL,17,Accompanied Minors (AM),Other,all
15,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JUN,JUN,19,Accompanied Minors (AM),Other,all
16,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,MAY,MAY,9,Accompanied Minors (AM),Other,all
17,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,APR,APR,8,Accompanied Minors (AM),Other,all
18,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,MAR,MAR,13,Accompanied Minors (AM),Other,all
19,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,FEB,FEB,1,Accompanied Minors (AM),Other,all
20,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JAN,JAN,7,Accompanied Minors (AM),Other,all
21,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,DEC,DEC,3,Accompanied Minors (AM),Other,all
22,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,NOV,NOV,8,Accompanied Minors (AM),Other,all
23,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,OCT,OCT,5,Accompanied Minors (AM),Other,all
24,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,73,Unaccompanied Children (UC) / Single Minors,Other,all
25,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,AUG,AUG,20,Unaccompanied Children (UC) / Single Minors,Other,all
26,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUL,JUL,9,Unaccompanied Children (UC) / Single Minors,Other,all
27,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUN,JUN,1,Unaccompanied Children (UC) / Single Minors,Other,all
28,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAY,MAY,8,Unaccompanied Children (UC) / Single Minors,Other,all
29,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,APR,APR,12,Unaccompanied Children (UC) / Single Minors,Other,all
30,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAR,MAR,6,Unaccompanied Children (UC) / Single Minors,Other,all
31,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,4,Unaccompanied Children (UC) / Single Minors,Other,all
32,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JAN,JAN,4,Unaccompanied Children (UC) / Single Minors,Other,all
33,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,5,Unaccompanied Children (UC) / Single Minors,Other,all
34,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,2,Unaccompanied Children (UC) / Single Minors,Other,all
35,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,2,Unaccompanied Children (UC) / Single Minors,Other,all
36,Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,3263,Individuals in a Family Unit (FMUA),Other,all
37,Office of Field Operations,Office of Field Operations,FMUA,FMUA,AUG,AUG,711,Individuals in a Family Unit (FMUA),Other,all
38,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUL,JUL,666,Individuals in a Family Unit (FMUA),Other,all
39,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUN,JUN,460,Individuals in a Family Unit (FMUA),Other,all
