,Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
13,2020,2020,JUN,JUN,%null%,Other,all,Accompanied Minors,Title 8
14,2021 (FYTD),2021 (FYTD),JUN,JUN,1,Other,all,Accompanied Minors,Title 8
15,2018,2018,MAY,MAY,3,Other,all,Accompanied Minors,Title 8
16,2019,2019,MAY,MAY,5,Other,all,Accompanied Minors,Title 8
17,2020,2020,MAY,MAY,%null%,Other,all,Accompanied Minors,Title 8
18,2021 (FYTD),2021 (FYTD),MAY,MAY,1,Other,all,Accompanied Minors,Title 8
19,2018,2018,APR,APR,6,Other,all,Accompanied Minors,Title 8
20,2019,2019,APR,APR,8,Other,all,Accompanied Minors,Title 8
21,2020,2020,APR,APR,%null%,Other,all,Accompanied Minors,Title 8
22,2021 (FYTD),2021 (FYTD),APR,APR,1,Other,all,Accompanied Minors,Title 8
23,2018,2018,MAR,MAR,5,Other,all,Accompanied Minors,Title 8
24,2019,2019,MAR,MAR,4,Other,all,Accompanied Minors,Title 8
25,2020,2020,MAR,MAR,2,Other,all,Accompanied Minors,Title 8
26,2021 (FYTD),2021 (FYTD),MAR,MAR,2,Other,all,Accompanied Minors,Title 8
27,2018,2018,FEB,FEB,3,Other,all,Accompanied Minors,Title 8
28,2019,2019,FEB,FEB,2,Other,all,Accompanied Minors,Title 8
29,2020,2020,FEB,FEB,3,Other,all,Accompanied Minors,Title 8
30,2018,2018,JAN,JAN,3,Other,all,Accompanied Minors,Title 8
31,2019,2019,JAN,JAN,3,Other,all,Accompanied Minors,Title 8
32,2021 (FYTD),2021 (FYTD),JAN,JAN,1,Other,all,Accompanied Minors,Title 8
33,2018,2018,DEC,DEC,4,Other,all,Accompanied Minors,Title 8
34,2019,2019,DEC,DEC,0,Other,all,Accompanied Minors,Title 8
35,2020,2020,DEC,DEC,4,Other,all,Accompanied Minors,Title 8
36,2018,2018,NOV,NOV,7,Other,all,Accompanied Minors,Title 8
37,2019,2019,NOV,NOV,2,Other,all,Accompanied Minors,Title 8
38,2020,2020,NOV,NOV,1,Other,all,Accompanied Minors,Title 8
39,2018,2018,OCT,OCT,1,Other,all,Accompanied Minors,Title 8
40,2019,2019,OCT,OCT,5,Other,all,Accompanied Minors,Title 8
41,2020,2020,OCT,OCT,8,Other,all,Accompanied Minors,Title 8
0,2020,2020,SEP,SEP,4,Other,all,Accompanied Minors,Title 42
1,2020,2020,AUG,AUG,13,Other,all,Accompanied Minors,Title 42
2,2021 (FYTD),2021 (FYTD),AUG,AUG,14,Other,all,Accompanied Minors,Title 42
3,2020,2020,JUL,JUL,4,Other,all,Accompanied Minors,Title 42
4,2021 (FYTD),2021 (FYTD),JUL,JUL,16,Other,all,Accompanied Minors,Title 42
5,2020,2020,JUN,JUN,17,Other,all,Accompanied Minors,Title 42
6,2021 (FYTD),2021 (FYTD),JUN,JUN,18,Other,all,Accompanied Minors,Title 42
7,2020,2020,MAY,MAY,7,Other,all,Accompanied Minors,Title 42
8,2021 (FYTD),2021 (FYTD),MAY,MAY,8,Other,all,Accompanied Minors,Title 42
9,2020,2020,APR,APR,1,Other,all,Accompanied Minors,Title 42
10,2021 (FYTD),2021 (FYTD),APR,APR,7,Other,all,Accompanied Minors,Title 42
11,2021 (FYTD),2021 (FYTD),MAR,MAR,11,Other,all,Accompanied Minors,Title 42
12,2021 (FYTD),2021 (FYTD),FEB,FEB,1,Other,all,Accompanied Minors,Title 42
13,2021 (FYTD),2021 (FYTD),JAN,JAN,6,Other,all,Accompanied Minors,Title 42
14,2021 (FYTD),2021 (FYTD),DEC,DEC,3,Other,all,Accompanied Minors,Title 42
15,2021 (FYTD),2021 (FYTD),NOV,NOV,8,Other,all,Accompanied Minors,Title 42
16,2021 (FYTD),2021 (FYTD),OCT,OCT,5,Other,all,Accompanied Minors,Title 42
0,2018,2018,SEP,SEP,1198,Other,all,FMUA,all
1,2019,2019,SEP,SEP,4297,Other,all,FMUA,all
2,2020,2020,SEP,SEP,1431,Other,all,FMUA,all
3,2018,2018,AUG,AUG,1124,Other,all,FMUA,all
4,2019,2019,AUG,AUG,5130,Other,all,FMUA,all
5,2020,2020,AUG,AUG,477,Other,all,FMUA,all
6,2021 (FYTD),2021 (FYTD),AUG,AUG,31726,Other,all,FMUA,all
7,2018,2018,JUL,JUL,961,Other,all,FMUA,all
8,2019,2019,JUL,JUL,6959,Other,all,FMUA,all
9,2020,2020,JUL,JUL,554,Other,all,FMUA,all
10,2021 (FYTD),2021 (FYTD),JUL,JUL,30642,Other,all,FMUA,all
11,2018,2018,JUN,JUN,803,Other,all,FMUA,all
12,2019,2019,JUN,JUN,8318,Other,all,FMUA,all
13,2020,2020,JUN,JUN,422,Other,all,FMUA,all
14,2021 (FYTD),2021 (FYTD),JUN,JUN,22479,Other,all,FMUA,all
15,2018,2018,MAY,MAY,985,Other,all,FMUA,all
16,2019,2019,MAY,MAY,7013,Other,all,FMUA,all
17,2020,2020,MAY,MAY,158,Other,all,FMUA,all
18,2021 (FYTD),2021 (FYTD),MAY,MAY,18822,Other,all,FMUA,all
19,2018,2018,APR,APR,789,Other,all,FMUA,all
20,2019,2019,APR,APR,4651,Other,all,FMUA,all
21,2020,2020,APR,APR,133,Other,all,FMUA,all
22,2021 (FYTD),2021 (FYTD),APR,APR,14860,Other,all,FMUA,all
23,2018,2018,MAR,MAR,841,Other,all,FMUA,all
24,2019,2019,MAR,MAR,3551,Other,all,FMUA,all
25,2020,2020,MAR,MAR,1578,Other,all,FMUA,all
26,2021 (FYTD),2021 (FYTD),MAR,MAR,11105,Other,all,FMUA,all
27,2018,2018,FEB,FEB,574,Other,all,FMUA,all
28,2019,2019,FEB,FEB,2609,Other,all,FMUA,all
29,2020,2020,FEB,FEB,2365,Other,all,FMUA,all
30,2021 (FYTD),2021 (FYTD),FEB,FEB,3518,Other,all,FMUA,all
31,2018,2018,JAN,JAN,506,Other,all,FMUA,all
32,2019,2019,JAN,JAN,1953,Other,all,FMUA,all
33,2020,2020,JAN,JAN,2588,Other,all,FMUA,all
34,2021 (FYTD),2021 (FYTD),JAN,JAN,2850,Other,all,FMUA,all
35,2018,2018,DEC,DEC,710,Other,all,FMUA,all
36,2019,2019,DEC,DEC,2021,Other,all,FMUA,all
37,2020,2020,DEC,DEC,3582,Other,all,FMUA,all
38,2021 (FYTD),2021 (FYTD),DEC,DEC,1178,Other,all,FMUA,all
39,2018,2018,NOV,NOV,592,Other,all,FMUA,all
40,2019,2019,NOV,NOV,1788,Other,all,FMUA,all
41,2020,2020,NOV,NOV,3462,Other,all,FMUA,all
42,2021 (FYTD),2021 (FYTD),NOV,NOV,800,Other,all,FMUA,all
43,2018,2018,OCT,OCT,599,Other,all,FMUA,all
44,2019,2019,OCT,OCT,1449,Other,all,FMUA,all
45,2020,2020,OCT,OCT,3099,Other,all,FMUA,all
46,2021 (FYTD),2021 (FYTD),OCT,OCT,1023,Other,all,FMUA,all
0,2018,2018,SEP,SEP,1198,Other,all,FMUA,Title 8
1,2019,2019,SEP,SEP,4297,Other,all,FMUA,Title 8
2,2020,2020,SEP,SEP,723,Other,all,FMUA,Title 8
3,2018,2018,AUG,AUG,1124,Other,all,FMUA,Title 8
4,2019,2019,AUG,AUG,5130,Other,all,FMUA,Title 8
5,2020,2020,AUG,AUG,322,Other,all,FMUA,Title 8
6,2021 (FYTD),2021 (FYTD),AUG,AUG,30839,Other,all,FMUA,Title 8
7,2018,2018,JUL,JUL,961,Other,all,FMUA,Title 8
8,2019,2019,JUL,JUL,6959,Other,all,FMUA,Title 8
9,2020,2020,JUL,JUL,391,Other,all,FMUA,Title 8
10,2021 (FYTD),2021 (FYTD),JUL,JUL,29865,Other,all,FMUA,Title 8
11,2018,2018,JUN,JUN,803,Other,all,FMUA,Title 8
12,2019,2019,JUN,JUN,8318,Other,all,FMUA,Title 8
13,2020,2020,JUN,JUN,257,Other,all,FMUA,Title 8
14,2021 (FYTD),2021 (FYTD),JUN,JUN,21968,Other,all,FMUA,Title 8
15,2018,2018,MAY,MAY,985,Other,all,FMUA,Title 8
16,2019,2019,MAY,MAY,7013,Other,all,FMUA,Title 8
17,2020,2020,MAY,MAY,103,Other,all,FMUA,Title 8
18,2021 (FYTD),2021 (FYTD),MAY,MAY,18172,Other,all,FMUA,Title 8
19,2018,2018,APR,APR,789,Other,all,FMUA,Title 8
20,2019,2019,APR,APR,4651,Other,all,FMUA,Title 8
21,2020,2020,APR,APR,76,Other,all,FMUA,Title 8
22,2021 (FYTD),2021 (FYTD),APR,APR,14069,Other,all,FMUA,Title 8
23,2018,2018,MAR,MAR,841,Other,all,FMUA,Title 8
24,2019,2019,MAR,MAR,3551,Other,all,FMUA,Title 8
25,2020,2020,MAR,MAR,1558,Other,all,FMUA,Title 8
26,2021 (FYTD),2021 (FYTD),MAR,MAR,10071,Other,all,FMUA,Title 8
27,2018,2018,FEB,FEB,574,Other,all,FMUA,Title 8
28,2019,2019,FEB,FEB,2609,Other,all,FMUA,Title 8
29,2020,2020,FEB,FEB,2365,Other,all,FMUA,Title 8
30,2021 (FYTD),2021 (FYTD),FEB,FEB,2829,Other,all,FMUA,Title 8
31,2018,2018,JAN,JAN,506,Other,all,FMUA,Title 8
32,2019,2019,JAN,JAN,1953,Other,all,FMUA,Title 8
33,2020,2020,JAN,JAN,2588,Other,all,FMUA,Title 8
34,2021 (FYTD),2021 (FYTD),JAN,JAN,1711,Other,all,FMUA,Title 8
35,2018,2018,DEC,DEC,710,Other,all,FMUA,Title 8
36,2019,2019,DEC,DEC,2021,Other,all,FMUA,Title 8
37,2020,2020,DEC,DEC,3582,Other,all,FMUA,Title 8
38,2021 (FYTD),2021 (FYTD),DEC,DEC,831,Other,all,FMUA,Title 8
39,2018,2018,NOV,NOV,592,Other,all,FMUA,Title 8
40,2019,2019,NOV,NOV,1788,Other,all,FMUA,Title 8
41,2020,2020,NOV,NOV,3462,Other,all,FMUA,Title 8
42,2021 (FYTD),2021 (FYTD),NOV,NOV,509,Other,all,FMUA,Title 8
43,2018,2018,OCT,OCT,599,Other,all,FMUA,Title 8
44,2019,2019,OCT,OCT,1449,Other,all,FMUA,Title 8
45,2020,2020,OCT,OCT,3099,Other,all,FMUA,Title 8
46,2021 (FYTD),2021 (FYTD),OCT,OCT,366,Other,all,FMUA,Title 8
0,2020,2020,SEP,SEP,708,Other,all,FMUA,Title 42
1,2020,2020,AUG,AUG,155,Other,all,FMUA,Title 42
2,2021 (FYTD),2021 (FYTD),AUG,AUG,887,Other,all,FMUA,Title 42
3,2020,2020,JUL,JUL,163,Other,all,FMUA,Title 42
4,2021 (FYTD),2021 (FYTD),JUL,JUL,777,Other,all,FMUA,Title 42
5,2020,2020,JUN,JUN,165,Other,all,FMUA,Title 42
6,2021 (FYTD),2021 (FYTD),JUN,JUN,511,Other,all,FMUA,Title 42
7,2020,2020,MAY,MAY,55,Other,all,FMUA,Title 42
8,2021 (FYTD),2021 (FYTD),MAY,MAY,650,Other,all,FMUA,Title 42
9,2020,2020,APR,APR,57,Other,all,FMUA,Title 42
10,2021 (FYTD),2021 (FYTD),APR,APR,791,Other,all,FMUA,Title 42
11,2020,2020,MAR,MAR,20,Other,all,FMUA,Title 42
12,2021 (FYTD),2021 (FYTD),MAR,MAR,1034,Other,all,FMUA,Title 42
13,2021 (FYTD),2021 (FYTD),FEB,FEB,689,Other,all,FMUA,Title 42
14,2021 (FYTD),2021 (FYTD),JAN,JAN,1139,Other,all,FMUA,Title 42
15,2021 (FYTD),2021 (FYTD),DEC,DEC,347,Other,all,FMUA,Title 42
16,2021 (FYTD),2021 (FYTD),NOV,NOV,291,Other,all,FMUA,Title 42
17,2021 (FYTD),2021 (FYTD),OCT,OCT,657,Other,all,FMUA,Title 42
0,2018,2018,SEP,SEP,3499,Other,all,Single Adults,all
1,2019,2019,SEP,SEP,4973,Other,all,Single Adults,all
2,2020,2020,SEP,SEP,4022,Other,all,Single Adults,all
3,2018,2018,AUG,AUG,3194,Other,all,Single Adults,all
4,2019,2019,AUG,AUG,5652,Other,all,Single Adults,all
5,2020,2020,AUG,AUG,2877,Other,all,Single Adults,all
6,2021 (FYTD),2021 (FYTD),AUG,AUG,28699,Other,all,Single Adults,all
7,2018,2018,JUL,JUL,3035,Other,all,Single Adults,all
8,2019,2019,JUL,JUL,6475,Other,all,Single Adults,all
9,2020,2020,JUL,JUL,1924,Other,all,Single Adults,all
10,2021 (FYTD),2021 (FYTD),JUL,JUL,27334,Other,all,Single Adults,all
11,2018,2018,JUN,JUN,2590,Other,all,Single Adults,all
12,2019,2019,JUN,JUN,7509,Other,all,Single Adults,all
13,2020,2020,JUN,JUN,1360,Other,all,Single Adults,all
14,2021 (FYTD),2021 (FYTD),JUN,JUN,24004,Other,all,Single Adults,all
15,2018,2018,MAY,MAY,2708,Other,all,Single Adults,all
16,2019,2019,MAY,MAY,9339,Other,all,Single Adults,all
17,2020,2020,MAY,MAY,1125,Other,all,Single Adults,all
18,2021 (FYTD),2021 (FYTD),MAY,MAY,21015,Other,all,Single Adults,all
19,2018,2018,APR,APR,2185,Other,all,Single Adults,all
20,2019,2019,APR,APR,6711,Other,all,Single Adults,all
21,2020,2020,APR,APR,1147,Other,all,Single Adults,all
22,2021 (FYTD),2021 (FYTD),APR,APR,18256,Other,all,Single Adults,all
23,2018,2018,MAR,MAR,2129,Other,all,Single Adults,all
24,2019,2019,MAR,MAR,4880,Other,all,Single Adults,all
25,2020,2020,MAR,MAR,2311,Other,all,Single Adults,all
26,2021 (FYTD),2021 (FYTD),MAR,MAR,13415,Other,all,Single Adults,all
27,2018,2018,FEB,FEB,1352,Other,all,Single Adults,all
28,2019,2019,FEB,FEB,3454,Other,all,Single Adults,all
29,2020,2020,FEB,FEB,2723,Other,all,Single Adults,all
30,2021 (FYTD),2021 (FYTD),FEB,FEB,8099,Other,all,Single Adults,all
31,2018,2018,JAN,JAN,1472,Other,all,Single Adults,all
32,2019,2019,JAN,JAN,3430,Other,all,Single Adults,all
33,2020,2020,JAN,JAN,3304,Other,all,Single Adults,all
34,2021 (FYTD),2021 (FYTD),JAN,JAN,6490,Other,all,Single Adults,all
35,2018,2018,DEC,DEC,2205,Other,all,Single Adults,all
36,2019,2019,DEC,DEC,3883,Other,all,Single Adults,all
37,2020,2020,DEC,DEC,3718,Other,all,Single Adults,all
38,2021 (FYTD),2021 (FYTD),DEC,DEC,6464,Other,all,Single Adults,all
39,2018,2018,NOV,NOV,2114,Other,all,Single Adults,all
40,2019,2019,NOV,NOV,4004,Other,all,Single Adults,all
41,2020,2020,NOV,NOV,3544,Other,all,Single Adults,all
42,2021 (FYTD),2021 (FYTD),NOV,NOV,4773,Other,all,Single Adults,all
43,2018,2018,OCT,OCT,1706,Other,all,Single Adults,all
44,2019,2019,OCT,OCT,3560,Other,all,Single Adults,all
45,2020,2020,OCT,OCT,4386,Other,all,Single Adults,all
46,2021 (FYTD),2021 (FYTD),OCT,OCT,4287,Other,all,Single Adults,all
0,2018,2018,SEP,SEP,3499,Other,all,Single Adults,Title 8
1,2019,2019,SEP,SEP,4973,Other,all,Single Adults,Title 8
2,2020,2020,SEP,SEP,1619,Other,all,Single Adults,Title 8
3,2018,2018,AUG,AUG,3194,Other,all,Single Adults,Title 8
4,2019,2019,AUG,AUG,5652,Other,all,Single Adults,Title 8
5,2020,2020,AUG,AUG,1286,Other,all,Single Adults,Title 8
6,2021 (FYTD),2021 (FYTD),AUG,AUG,20596,Other,all,Single Adults,Title 8
7,2018,2018,JUL,JUL,3035,Other,all,Single Adults,Title 8
8,2019,2019,JUL,JUL,6475,Other,all,Single Adults,Title 8
9,2020,2020,JUL,JUL,781,Other,all,Single Adults,Title 8
10,2021 (FYTD),2021 (FYTD),JUL,JUL,19325,Other,all,Single Adults,Title 8
11,2018,2018,JUN,JUN,2590,Other,all,Single Adults,Title 8
12,2019,2019,JUN,JUN,7509,Other,all,Single Adults,Title 8
13,2020,2020,JUN,JUN,624,Other,all,Single Adults,Title 8
14,2021 (FYTD),2021 (FYTD),JUN,JUN,15789,Other,all,Single Adults,Title 8
15,2018,2018,MAY,MAY,2708,Other,all,Single Adults,Title 8
16,2019,2019,MAY,MAY,9339,Other,all,Single Adults,Title 8
17,2020,2020,MAY,MAY,480,Other,all,Single Adults,Title 8
18,2021 (FYTD),2021 (FYTD),MAY,MAY,12710,Other,all,Single Adults,Title 8
19,2018,2018,APR,APR,2185,Other,all,Single Adults,Title 8
20,2019,2019,APR,APR,6711,Other,all,Single Adults,Title 8
21,2020,2020,APR,APR,511,Other,all,Single Adults,Title 8
22,2021 (FYTD),2021 (FYTD),APR,APR,12699,Other,all,Single Adults,Title 8
23,2018,2018,MAR,MAR,2129,Other,all,Single Adults,Title 8
24,2019,2019,MAR,MAR,4880,Other,all,Single Adults,Title 8
25,2020,2020,MAR,MAR,2145,Other,all,Single Adults,Title 8
26,2021 (FYTD),2021 (FYTD),MAR,MAR,8768,Other,all,Single Adults,Title 8
27,2018,2018,FEB,FEB,1352,Other,all,Single Adults,Title 8
28,2019,2019,FEB,FEB,3454,Other,all,Single Adults,Title 8
29,2020,2020,FEB,FEB,2723,Other,all,Single Adults,Title 8
30,2021 (FYTD),2021 (FYTD),FEB,FEB,4116,Other,all,Single Adults,Title 8
31,2018,2018,JAN,JAN,1472,Other,all,Single Adults,Title 8
32,2019,2019,JAN,JAN,3430,Other,all,Single Adults,Title 8
33,2020,2020,JAN,JAN,3304,Other,all,Single Adults,Title 8
34,2021 (FYTD),2021 (FYTD),JAN,JAN,2001,Other,all,Single Adults,Title 8
35,2018,2018,DEC,DEC,2205,Other,all,Single Adults,Title 8
36,2019,2019,DEC,DEC,3883,Other,all,Single Adults,Title 8
37,2020,2020,DEC,DEC,3718,Other,all,Single Adults,Title 8
38,2021 (FYTD),2021 (FYTD),DEC,DEC,2051,Other,all,Single Adults,Title 8
39,2018,2018,NOV,NOV,2114,Other,all,Single Adults,Title 8
40,2019,2019,NOV,NOV,4004,Other,all,Single Adults,Title 8
41,2020,2020,NOV,NOV,3544,Other,all,Single Adults,Title 8
42,2021 (FYTD),2021 (FYTD),NOV,NOV,1581,Other,all,Single Adults,Title 8
43,2018,2018,OCT,OCT,1706,Other,all,Single Adults,Title 8
44,2019,2019,OCT,OCT,3560,Other,all,Single Adults,Title 8
45,2020,2020,OCT,OCT,4386,Other,all,Single Adults,Title 8
46,2021 (FYTD),2021 (FYTD),OCT,OCT,1263,Other,all,Single Adults,Title 8
0,2020,2020,SEP,SEP,2403,Other,all,Single Adults,Title 42
1,2020,2020,AUG,AUG,1591,Other,all,Single Adults,Title 42
2,2021 (FYTD),2021 (FYTD),AUG,AUG,8103,Other,all,Single Adults,Title 42
3,2020,2020,JUL,JUL,1143,Other,all,Single Adults,Title 42
4,2021 (FYTD),2021 (FYTD),JUL,JUL,8009,Other,all,Single Adults,Title 42
5,2020,2020,JUN,JUN,736,Other,all,Single Adults,Title 42
6,2021 (FYTD),2021 (FYTD),JUN,JUN,8215,Other,all,Single Adults,Title 42
7,2020,2020,MAY,MAY,645,Other,all,Single Adults,Title 42
8,2021 (FYTD),2021 (FYTD),MAY,MAY,8305,Other,all,Single Adults,Title 42
9,2020,2020,APR,APR,636,Other,all,Single Adults,Title 42
10,2021 (FYTD),2021 (FYTD),APR,APR,5557,Other,all,Single Adults,Title 42
11,2020,2020,MAR,MAR,166,Other,all,Single Adults,Title 42
12,2021 (FYTD),2021 (FYTD),MAR,MAR,4647,Other,all,Single Adults,Title 42
13,2021 (FYTD),2021 (FYTD),FEB,FEB,3983,Other,all,Single Adults,Title 42
14,2021 (FYTD),2021 (FYTD),JAN,JAN,4489,Other,all,Single Adults,Title 42
15,2021 (FYTD),2021 (FYTD),DEC,DEC,4413,Other,all,Single Adults,Title 42
16,2021 (FYTD),2021 (FYTD),NOV,NOV,3192,Other,all,Single Adults,Title 42
17,2021 (FYTD),2021 (FYTD),OCT,OCT,3024,Other,all,Single Adults,Title 42
0,2018,2018,SEP,SEP,234,Other,all,UC / Single Minors,all
1,2019,2019,SEP,SEP,371,Other,all,UC / Single Minors,all
2,2020,2020,SEP,SEP,106,Other,all,UC / Single Minors,all
3,2018,2018,AUG,AUG,205,Other,all,UC / Single Minors,all
4,2019,2019,AUG,AUG,265,Other,all,UC / Single Minors,all
5,2020,2020,AUG,AUG,68,Other,all,UC / Single Minors,all
6,2021 (FYTD),2021 (FYTD),AUG,AUG,1043,Other,all,UC / Single Minors,all
7,2018,2018,JUL,JUL,268,Other,all,UC / Single Minors,all
8,2019,2019,JUL,JUL,324,Other,all,UC / Single Minors,all
9,2020,2020,JUL,JUL,44,Other,all,UC / Single Minors,all
10,2021 (FYTD),2021 (FYTD),JUL,JUL,1139,Other,all,UC / Single Minors,all
11,2018,2018,JUN,JUN,216,Other,all,UC / Single Minors,all
12,2019,2019,JUN,JUN,358,Other,all,UC / Single Minors,all
13,2020,2020,JUN,JUN,22,Other,all,UC / Single Minors,all
14,2021 (FYTD),2021 (FYTD),JUN,JUN,764,Other,all,UC / Single Minors,all
15,2018,2018,MAY,MAY,215,Other,all,UC / Single Minors,all
16,2019,2019,MAY,MAY,473,Other,all,UC / Single Minors,all
17,2020,2020,MAY,MAY,18,Other,all,UC / Single Minors,all
18,2021 (FYTD),2021 (FYTD),MAY,MAY,831,Other,all,UC / Single Minors,all
19,2018,2018,APR,APR,136,Other,all,UC / Single Minors,all
20,2019,2019,APR,APR,295,Other,all,UC / Single Minors,all
21,2020,2020,APR,APR,29,Other,all,UC / Single Minors,all
22,2021 (FYTD),2021 (FYTD),APR,APR,773,Other,all,UC / Single Minors,all
23,2018,2018,MAR,MAR,109,Other,all,UC / Single Minors,all
24,2019,2019,MAR,MAR,256,Other,all,UC / Single Minors,all
25,2020,2020,MAR,MAR,136,Other,all,UC / Single Minors,all
26,2021 (FYTD),2021 (FYTD),MAR,MAR,590,Other,all,UC / Single Minors,all
27,2018,2018,FEB,FEB,60,Other,all,UC / Single Minors,all
28,2019,2019,FEB,FEB,195,Other,all,UC / Single Minors,all
29,2020,2020,FEB,FEB,151,Other,all,UC / Single Minors,all
30,2021 (FYTD),2021 (FYTD),FEB,FEB,291,Other,all,UC / Single Minors,all
31,2018,2018,JAN,JAN,77,Other,all,UC / Single Minors,all
32,2019,2019,JAN,JAN,140,Other,all,UC / Single Minors,all
33,2020,2020,JAN,JAN,133,Other,all,UC / Single Minors,all
34,2021 (FYTD),2021 (FYTD),JAN,JAN,324,Other,all,UC / Single Minors,all
35,2018,2018,DEC,DEC,127,Other,all,UC / Single Minors,all
36,2019,2019,DEC,DEC,146,Other,all,UC / Single Minors,all
37,2020,2020,DEC,DEC,200,Other,all,UC / Single Minors,all
38,2021 (FYTD),2021 (FYTD),DEC,DEC,246,Other,all,UC / Single Minors,all
39,2018,2018,NOV,NOV,169,Other,all,UC / Single Minors,all
40,2019,2019,NOV,NOV,125,Other,all,UC / Single Minors,all
41,2020,2020,NOV,NOV,192,Other,all,UC / Single Minors,all
42,2021 (FYTD),2021 (FYTD),NOV,NOV,195,Other,all,UC / Single Minors,all
43,2018,2018,OCT,OCT,130,Other,all,UC / Single Minors,all
44,2019,2019,OCT,OCT,161,Other,all,UC / Single Minors,all
45,2020,2020,OCT,OCT,161,Other,all,UC / Single Minors,all
46,2021 (FYTD),2021 (FYTD),OCT,OCT,153,Other,all,UC / Single Minors,all
0,2018,2018,SEP,SEP,234,Other,all,UC / Single Minors,Title 8
1,2019,2019,SEP,SEP,371,Other,all,UC / Single Minors,Title 8
2,2020,2020,SEP,SEP,85,Other,all,UC / Single Minors,Title 8
3,2018,2018,AUG,AUG,205,Other,all,UC / Single Minors,Title 8
4,2019,2019,AUG,AUG,265,Other,all,UC / Single Minors,Title 8
5,2020,2020,AUG,AUG,44,Other,all,UC / Single Minors,Title 8
6,2021 (FYTD),2021 (FYTD),AUG,AUG,1043,Other,all,UC / Single Minors,Title 8
7,2018,2018,JUL,JUL,268,Other,all,UC / Single Minors,Title 8
8,2019,2019,JUL,JUL,324,Other,all,UC / Single Minors,Title 8
9,2020,2020,JUL,JUL,21,Other,all,UC / Single Minors,Title 8
10,2021 (FYTD),2021 (FYTD),JUL,JUL,1139,Other,all,UC / Single Minors,Title 8
11,2018,2018,JUN,JUN,216,Other,all,UC / Single Minors,Title 8
12,2019,2019,JUN,JUN,358,Other,all,UC / Single Minors,Title 8
13,2020,2020,JUN,JUN,13,Other,all,UC / Single Minors,Title 8
14,2021 (FYTD),2021 (FYTD),JUN,JUN,764,Other,all,UC / Single Minors,Title 8
15,2018,2018,MAY,MAY,215,Other,all,UC / Single Minors,Title 8
16,2019,2019,MAY,MAY,473,Other,all,UC / Single Minors,Title 8
17,2020,2020,MAY,MAY,8,Other,all,UC / Single Minors,Title 8
18,2021 (FYTD),2021 (FYTD),MAY,MAY,831,Other,all,UC / Single Minors,Title 8
19,2018,2018,APR,APR,136,Other,all,UC / Single Minors,Title 8
20,2019,2019,APR,APR,295,Other,all,UC / Single Minors,Title 8
21,2020,2020,APR,APR,23,Other,all,UC / Single Minors,Title 8
22,2021 (FYTD),2021 (FYTD),APR,APR,773,Other,all,UC / Single Minors,Title 8
23,2018,2018,MAR,MAR,109,Other,all,UC / Single Minors,Title 8
24,2019,2019,MAR,MAR,256,Other,all,UC / Single Minors,Title 8
25,2020,2020,MAR,MAR,135,Other,all,UC / Single Minors,Title 8
26,2021 (FYTD),2021 (FYTD),MAR,MAR,590,Other,all,UC / Single Minors,Title 8
27,2018,2018,FEB,FEB,60,Other,all,UC / Single Minors,Title 8
28,2019,2019,FEB,FEB,195,Other,all,UC / Single Minors,Title 8
29,2020,2020,FEB,FEB,151,Other,all,UC / Single Minors,Title 8
30,2021 (FYTD),2021 (FYTD),FEB,FEB,291,Other,all,UC / Single Minors,Title 8
31,2018,2018,JAN,JAN,77,Other,all,UC / Single Minors,Title 8
32,2019,2019,JAN,JAN,140,Other,all,UC / Single Minors,Title 8
33,2020,2020,JAN,JAN,133,Other,all,UC / Single Minors,Title 8
34,2021 (FYTD),2021 (FYTD),JAN,JAN,324,Other,all,UC / Single Minors,Title 8
35,2018,2018,DEC,DEC,127,Other,all,UC / Single Minors,Title 8
36,2019,2019,DEC,DEC,146,Other,all,UC / Single Minors,Title 8
37,2020,2020,DEC,DEC,200,Other,all,UC / Single Minors,Title 8
38,2021 (FYTD),2021 (FYTD),DEC,DEC,246,Other,all,UC / Single Minors,Title 8
39,2018,2018,NOV,NOV,169,Other,all,UC / Single Minors,Title 8
40,2019,2019,NOV,NOV,125,Other,all,UC / Single Minors,Title 8
41,2020,2020,NOV,NOV,192,Other,all,UC / Single Minors,Title 8
42,2021 (FYTD),2021 (FYTD),NOV,NOV,194,Other,all,UC / Single Minors,Title 8
43,2018,2018,OCT,OCT,130,Other,all,UC / Single Minors,Title 8
44,2019,2019,OCT,OCT,161,Other,all,UC / Single Minors,Title 8
45,2020,2020,OCT,OCT,161,Other,all,UC / Single Minors,Title 8
46,2021 (FYTD),2021 (FYTD),OCT,OCT,133,Other,all,UC / Single Minors,Title 8
0,2020,2020,SEP,SEP,21,Other,all,UC / Single Minors,Title 42
1,2020,2020,AUG,AUG,24,Other,all,UC / Single Minors,Title 42
2,2020,2020,JUL,JUL,23,Other,all,UC / Single Minors,Title 42
3,2020,2020,JUN,JUN,9,Other,all,UC / Single Minors,Title 42
4,2020,2020,MAY,MAY,10,Other,all,UC / Single Minors,Title 42
5,2020,2020,APR,APR,6,Other,all,UC / Single Minors,Title 42
6,2020,2020,MAR,MAR,1,Other,all,UC / Single Minors,Title 42
